datetime,hour_of_week,road,predicted_count,green_seconds
2017-01-01T00:00:00,144,North,34.3982478375621,43
2017-01-01T00:00:00,144,South,9.114891659456898,20
2017-01-01T00:00:00,144,East,16.740491664947534,27
2017-01-01T00:00:00,144,West,7.200209454346198,18
2017-01-01T01:00:00,145,North,26.94422823040983,43
2017-01-01T01:00:00,145,South,9.027775438096631,23
2017-01-01T01:00:00,145,East,10.566146223474806,24
2017-01-01T01:00:00,145,West,5.002103238696108,18
2017-01-01T02:00:00,146,North,26.927454612884524,46
2017-01-01T02:00:00,146,South,6.936845067379149,21
2017-01-01T02:00:00,146,East,9.264506876732739,24
2017-01-01T02:00:00,146,West,4.225061414668987,17
2017-01-01T03:00:00,147,North,23.75108557634581,45
2017-01-01T03:00:00,147,South,6.4544008928361745,21
2017-01-01T03:00:00,147,East,7.8970136755327704,23
2017-01-01T03:00:00,147,West,4.755136194583936,19
2017-01-01T04:00:00,148,North,20.713929787265357,44
2017-01-01T04:00:00,148,South,7.430775063965437,23
2017-01-01T04:00:00,148,East,7.125531184170939,23
2017-01-01T04:00:00,148,West,3.9138095301325957,18
2017-01-01T05:00:00,149,North,17.201738633394065,43
2017-01-01T05:00:00,149,South,5.8378617881862604,23
2017-01-01T05:00:00,149,East,5.860659497267742,23
2017-01-01T05:00:00,149,West,3.950900663762416,19
2017-01-01T06:00:00,150,North,21.75108557634581,48
2017-01-01T06:00:00,150,South,5.862310336387465,21
2017-01-01T06:00:00,150,East,5.297620777229368,21
2017-01-01T06:00:00,150,West,3.6613241421288336,18
2017-01-01T07:00:00,151,North,20.713929787265357,44
2017-01-01T07:00:00,151,South,6.541644588566198,22
2017-01-01T07:00:00,151,East,7.874343968423453,24
2017-01-01T07:00:00,151,West,3.667741609624594,18
2017-01-01T08:00:00,152,North,20.829929112320556,41
2017-01-01T08:00:00,152,South,7.323059867875821,22
2017-01-01T08:00:00,152,East,9.339956196058658,25
2017-01-01T08:00:00,152,West,5.513221727425047,20
2017-01-01T09:00:00,153,North,29.82251969245587,43
2017-01-01T09:00:00,153,South,8.366434977795285,21
2017-01-01T09:00:00,153,East,12.914155723067822,26
2017-01-01T09:00:00,153,West,6.14628144519363,18
2017-01-01T10:00:00,154,North,31.90460793603409,44
2017-01-01T10:00:00,154,South,6.921220313501261,19
2017-01-01T10:00:00,154,East,14.353448023282295,27
2017-01-01T10:00:00,154,West,6.132498671766973,18
2017-01-01T11:00:00,155,North,35.32089364675651,43
2017-01-01T11:00:00,155,South,7.2821904466029475,18
2017-01-01T11:00:00,155,East,18.912557625700238,29
2017-01-01T11:00:00,155,West,7.3420934788162615,18
2017-01-01T12:00:00,156,North,34.68749748106463,41
2017-01-01T12:00:00,156,South,9.004804208946618,20
2017-01-01T12:00:00,156,East,18.0810985097158,27
2017-01-01T12:00:00,156,West,9.513157889470099,20
2017-01-01T13:00:00,157,North,34.9156796792592,42
2017-01-01T13:00:00,157,South,9.19389695116471,20
2017-01-01T13:00:00,157,East,17.28828169083672,27
2017-01-01T13:00:00,157,West,7.50748163153901,19
2017-01-01T14:00:00,158,North,34.084005578406874,43
2017-01-01T14:00:00,158,South,8.126394903120449,19
2017-01-01T14:00:00,158,East,17.771386840235067,28
2017-01-01T14:00:00,158,West,7.125613681369031,18
2017-01-01T15:00:00,159,North,36.278054431128936,42
2017-01-01T15:00:00,159,South,9.58485846114591,20
2017-01-01T15:00:00,159,East,17.43455945101398,27
2017-01-01T15:00:00,159,West,8.053037360670704,19
2017-01-01T16:00:00,160,North,34.85571900516847,43
2017-01-01T16:00:00,160,South,9.241997145338603,20
2017-01-01T16:00:00,160,East,15.772932837349787,26
2017-01-01T16:00:00,160,West,7.942783347678085,19
2017-01-01T17:00:00,161,North,38.64634815878687,44
2017-01-01T17:00:00,161,South,9.947865896794445,20
2017-01-01T17:00:00,161,East,16.195419493915534,26
2017-01-01T17:00:00,161,West,7.622063757488503,18
2017-01-01T18:00:00,162,North,40.5890342493046,45
2017-01-01T18:00:00,162,South,11.536498463222879,21
2017-01-01T18:00:00,162,East,14.868510158034947,24
2017-01-01T18:00:00,162,West,7.411509256631517,18
2017-01-01T19:00:00,163,North,44.99143365090059,46
2017-01-01T19:00:00,163,South,10.052105326184458,20
2017-01-01T19:00:00,163,East,16.352979831747035,24
2017-01-01T19:00:00,163,West,7.435745567359284,18
2017-01-01T20:00:00,164,North,41.91613158400652,45
2017-01-01T20:00:00,164,South,8.521469882304128,19
2017-01-01T20:00:00,164,East,16.105335488223506,25
2017-01-01T20:00:00,164,West,8.972131587408317,19
2017-01-01T21:00:00,165,North,40.77474595189292,44
2017-01-01T21:00:00,165,South,9.863966112699407,20
2017-01-01T21:00:00,165,East,18.274208725039333,26
2017-01-01T21:00:00,165,West,7.279574044378852,18
2017-01-01T22:00:00,166,North,36.88110000603826,43
2017-01-01T22:00:00,166,South,9.696124900025263,20
2017-01-01T22:00:00,166,East,16.65777592983008,26
2017-01-01T22:00:00,166,West,8.139928642877594,19
2017-01-01T23:00:00,167,North,24.301060786677212,37
2017-01-01T23:00:00,167,South,10.933499261930738,23
2017-01-01T23:00:00,167,East,16.799558889503633,29
2017-01-01T23:00:00,167,West,6.594175302413776,19
2017-01-02T00:00:00,0,North,37.3878894534554,44
2017-01-02T00:00:00,0,South,9.453960590731135,20
2017-01-02T00:00:00,0,East,15.854544945751343,26
2017-01-02T00:00:00,0,West,7.395039625876809,18
2017-01-02T01:00:00,1,North,25.87889281424254,44
2017-01-02T01:00:00,1,South,7.849494609320731,22
2017-01-02T01:00:00,1,East,10.27175959090002,24
2017-01-02T01:00:00,1,West,4.844691289516959,18
2017-01-02T02:00:00,2,North,27.964323628408618,46
2017-01-02T02:00:00,2,South,7.164497737926094,21
2017-01-02T02:00:00,2,East,8.540741249695117,23
2017-01-02T02:00:00,2,West,5.05355608584577,18
2017-01-02T03:00:00,3,North,25.94422823040983,48
2017-01-02T03:00:00,3,South,5.804112659797754,20
2017-01-02T03:00:00,3,East,7.093748791599039,22
2017-01-02T03:00:00,3,West,4.570337394439382,18
2017-01-02T04:00:00,4,North,23.927454612884524,47
2017-01-02T04:00:00,4,South,5.906983130148573,21
2017-01-02T04:00:00,4,East,6.800223975838781,22
2017-01-02T04:00:00,4,West,4.5043683695164125,18
2017-01-02T05:00:00,5,North,24.919293607697284,47
2017-01-02T05:00:00,5,South,7.280511082251055,22
2017-01-02T05:00:00,5,East,5.357481899388232,20
2017-01-02T05:00:00,5,West,4.869399818528819,19
2017-01-02T06:00:00,6,North,27.927454612884524,47
2017-01-02T06:00:00,6,South,7.110185460800188,21
2017-01-02T06:00:00,6,East,7.502731232992671,22
2017-01-02T06:00:00,6,West,4.647960153316576,18
2017-01-02T07:00:00,7,North,31.728542474874395,47
2017-01-02T07:00:00,7,South,8.05591445705292,21
2017-01-02T07:00:00,7,East,9.444667967876189,22
2017-01-02T07:00:00,7,West,5.743891469794886,18
