hour,road,predicted_count,green_seconds
0,North,62.09041378298384,46
0,South,19.824923052303774,23
0,East,19.334788400064422,23
0,West,7.242218565042674,16
1,North,49.6877141076586,48
1,South,18.634407960096055,25
1,East,10.079534372531354,19
1,West,5.4687632357980105,16
2,North,42.96525092708991,47
2,South,18.233710895507173,27
2,East,7.983895520371258,18
2,West,4.905141217696352,16
3,North,38.03389780663467,47
3,South,13.204220858132057,24
3,East,8.050952570415847,20
3,West,5.5355734082528745,17
4,North,29.581310538505143,46
4,South,10.612026058662229,25
4,East,7.143557354295683,20
4,West,4.534740556270584,17
5,North,25.65621630510236,44
5,South,11.50159807194844,26
5,East,6.677216364585655,20
5,West,4.498848587398109,18
6,North,30.645216305102362,47
6,South,10.352810682895065,24
6,East,6.609896203816901,20
6,West,4.5496407934112675,17
7,North,32.64245883971332,47
7,South,9.733397787621357,22
7,East,8.185328496049012,21
7,West,5.55306833598624,18
8,North,34.65097466850895,47
8,South,10.62585789546658,23
8,East,8.570368982513891,20
8,West,6.133219568575026,18
9,North,39.806674185255815,46
9,South,12.103539699229898,23
9,East,11.655813816605527,22
9,West,5.842675243546228,17
10,North,46.90645336374992,47
10,South,13.805895280417241,22
10,East,12.799212379550584,22
10,West,7.30503364035651,17
11,North,50.376986255267084,48
11,South,13.815732255948866,22
11,East,11.941326177247294,20
11,West,8.688331292948847,18
12,North,50.511942985241184,46
12,South,13.829409461661752,22
12,East,15.031297820180692,22
12,West,9.003561594470053,18
13,North,48.93626093087883,46
13,South,16.567928153042136,23
13,East,12.902413799802021,21
13,West,8.11503042683191,18
14,North,50.82694365081404,47
14,South,13.10752967556689,21
14,East,14.554589973750709,22
14,West,8.538589429263986,18
15,North,52.40984085415911,47
15,South,14.851566655006017,22
15,East,15.473693608873807,22
15,West,7.97510885243059,17
16,North,53.34891397979502,45
16,South,15.88337512762491,22
16,East,19.14245704953024,24
16,West,8.282454299313256,17
17,North,51.89457672044357,46
17,South,18.5814950816732,24
17,East,13.998402859334405,21
17,West,7.849520116055478,17
18,North,53.64698794285645,47
18,South,17.66115297943017,23
18,East,14.50046777034451,21
18,West,7.8501839158318605,17
19,North,60.93180372429749,48
19,South,17.63115297943017,22
19,East,14.781299157122952,21
19,West,7.932622356775533,17
20,North,60.97612448665835,48
20,South,16.584884315180123,22
20,East,14.871963255040129,21
20,West,8.137624040413746,17
21,North,60.69062504067646,49
21,South,15.78261761261674,21
21,East,14.466314083032353,21
21,West,7.991632107101225,17
22,North,59.006983319827384,48
22,South,18.387079228798232,23
22,East,13.186265833833978,20
22,West,8.128805257125054,17
23,North,57.83709469376785,47
23,South,18.342840468069774,23
23,East,14.525844436361975,21
23,West,8.43787840443951,17
24,North,53.66783636720191,46
24,South,18.63407812547832,24
24,East,14.710054195664117,21
24,West,8.247931838116548,17
25,North,40.35907202146343,46
25,South,14.692739097547005,25
25,East,9.588029021296345,20
25,West,5.641774555907495,17
26,North,31.93064259502059,44
26,South,14.47146453932403,26
26,East,8.17045008929109,20
26,West,5.856079070277683,18
27,North,29.9713925260931,47
27,South,8.768540669507985,22
27,East,8.00327681137704,21
27,West,5.445410032954684,18
28,North,25.069225193594644,44
28,South,10.404051333248153,25
28,East,6.583082107476272,21
28,West,4.798153085558509,18
29,North,22.31709923492301,41
29,South,11.298299522510591,27
29,East,7.820427375022697,22
29,West,4.465992299490247,18
30,North,24.231230289054064,44
30,South,9.349519906908025,24
30,East,6.467408545387192,21
30,West,5.4071794616804425,19
31,North,29.29669515313735,46
31,South,8.583851532643523,22
31,East,8.179753099223616,22
31,West,5.213221522837948,18
32,North,34.3571752046174,46
32,South,11.582038597706699,24
32,East,8.178733642458942,20
32,West,6.007411681530845,18
33,North,40.388468154176955,48
33,South,9.543486940419461,21
33,East,9.880114969903126,21
33,West,6.512780371606587,18
34,North,48.74867668703437,49
34,South,11.826931746131853,21
34,East,11.54097647180657,21
34,West,6.51472029786501,17
35,North,52.57704468345217,48
35,South,15.643411926047278,23
35,East,12.311643731647214,20
35,West,7.9560180450754165,17
36,North,54.51380386960538,49
36,South,14.136959586577603,22
36,East,12.491517126870882,20
36,West,7.529252009221928,17
37,North,56.497016331550476,48
37,South,15.81523753775921,22
37,East,13.912918409778475,21
37,West,7.955076951883586,17
38,North,51.80349855385218,46
38,South,13.745838825871276,21
38,East,17.50543860810649,24
38,West,7.6430386535112795,17
39,North,50.60190244143608,46
39,South,15.689312885339376,22
39,East,16.435455227797824,23
39,West,7.825483238925827,17
40,North,53.77254843426949,46
40,South,15.962897890481997,22
40,East,17.522639780699315,23
40,West,7.886598423148467,17
41,North,52.87295077241788,46
41,South,16.633385423670568,23
41,East,16.418254055204997,22
41,West,7.562086351794142,17
42,North,55.63393342340219,48
42,South,15.72446311823,22
42,East,13.29868519384755,21
42,West,7.501857759121831,17
43,North,61.657394191504466,48
43,South,18.54020535108294,23
43,East,16.322639153727312,21
43,West,7.699355717633367,16
44,North,60.380179070784365,47
44,South,17.813313493597384,22
44,East,17.138087650533766,22
44,West,7.558288373602428,17
45,North,57.485736454572475,47
45,South,17.108803282205148,22
45,East,16.92768132386557,22
45,West,7.522454955806932,17
46,North,60.05835543184315,46
46,South,18.63407812547832,23
46,East,18.649809996410912,23
46,West,7.8452024220474135,16
47,North,56.26403120447575,46
47,South,18.419388122732403,23
47,East,17.521239079873055,22
47,West,7.591111361884261,17
48,North,55.96848728724801,45
48,South,20.534200476204756,24
48,East,15.333934215707881,21
48,West,9.40017297279612,18
49,North,47.70803420705667,47
49,South,16.51344590797768,24
49,East,10.090560862919656,20
49,West,6.3668574686898785,17
50,North,39.06786927408139,49
50,South,12.862411745434624,24
50,East,6.944001054998628,18
50,West,5.066118684299585,17
51,North,37.295696831096976,49
51,South,11.65681704995255,24
51,East,5.731947942973355,18
51,West,5.0709273616466755,17
52,North,31.515434019142578,46
52,South,11.999737619342373,25
52,East,7.504907284480034,20
52,West,4.554628940470065,17
53,North,30.819555050071383,45
53,South,11.71621443806442,25
53,East,7.045933564592053,20
53,West,5.383135136198245,18
54,North,38.58760845323387,49
54,South,12.522149602610979,24
54,East,7.5147820487840695,19
54,West,4.753551487293321,16
55,North,45.304783509373685,49
55,South,13.768501897331824,23
55,East,8.289076137217918,19
55,West,5.495185902886619,17
56,North,52.128515123239595,51
56,South,14.23071221609705,23
56,East,8.6942862899327,18
56,West,5.284800991540626,16
57,North,61.30391252035881,51
57,South,14.673282851449704,21
57,East,11.703323478386276,19
57,West,7.023976491707564,17
58,North,78.63332587066988,52
58,South,16.840892650370368,20
58,East,14.962361492149006,20
58,West,8.951140685452424,16
59,North,72.33232288085001,49
59,South,19.14871682870545,22
59,East,15.416662785778499,20
59,West,9.37700635433923,17
60,North,75.6212104860783,48
60,South,21.243938425175426,22
60,East,16.237580521582135,20
60,West,13.964591875220966,18
61,North,74.04800805116032,49
61,South,21.12158624062472,22
61,East,16.829153392950968,20
61,West,9.348633845626102,17
62,North,78.21856479113103,48
62,South,23.259156271649587,23
62,East,17.457800204559348,20
62,West,10.14756757839966,17
63,North,77.44170344659322,49
63,South,21.17738528419441,22
63,East,15.944018847672428,20
63,West,9.776803737504501,17
64,North,78.14136028581653,50
64,South,21.05097216183025,22
64,East,16.926474586330134,20
64,West,9.08647779839108,16
65,North,81.89365096158424,51
65,South,21.138273871825113,22
65,East,14.827511315315046,19
65,West,9.433948583791276,16
66,North,60.20944444444444,44
66,South,25.806069979939245,26
66,East,17.190269368160784,21
66,West,9.580369625271597,17
67,North,64.96944444444443,45
67,South,26.269677869131073,25
67,East,16.665766838153786,21
67,West,10.14684460578662,17
68,North,60.470444444444446,44
68,South,25.685861482018094,26
68,East,16.385813247578263,21
68,West,10.107381105893435,17
69,North,57.260444444444445,45
69,South,23.175986915344236,25
69,East,15.203436472936266,21
69,West,9.423789501316648,17
70,North,57.83211111111111,45
70,South,24.77960906059145,26
70,East,14.943538156714164,20
70,West,8.862564887435118,17
71,North,57.21127777777778,44
71,South,25.390066803024006,26
71,East,15.718481913466045,21
71,West,8.372737409172087,17
72,North,81.22129046158203,50
72,South,22.532674390368996,23
72,East,13.770656114277786,19
72,West,9.21279188550028,16
73,North,73.75591268831006,51
73,South,21.941930507814767,24
73,East,11.539678368416023,18
73,West,5.584274181718127,15
74,North,65.85364317203769,51
74,South,21.712860786407784,25
74,East,9.583419812739145,17
74,West,5.058027320706154,15
75,North,48.178453528406,48
75,South,18.594442688590906,26
75,East,7.812999453876497,18
75,West,5.637322853149249,16
76,North,40.30013681037251,47
76,South,16.997355965008623,26
76,East,7.927031837882343,19
76,West,4.5523129003571245,16
77,North,38.882148055308264,47
77,South,16.14733698112159,27
77,East,6.766486534887667,18
77,West,4.6558513380826465,16
78,North,43.4076947530347,50
78,South,13.228757841601087,24
78,East,6.775107303941317,18
78,West,4.695069049872495,16
79,North,49.39663103648293,49
79,South,16.856032261747654,25
79,East,8.587214991950233,18
79,West,5.511438838031186,16
80,North,59.19275738421099,51
80,South,17.09484285312051,23
80,East,9.790381540197684,18
80,West,5.456462240697855,16
81,North,71.92884868303331,51
81,South,18.186142660350402,22
81,East,12.873141561171497,19
81,West,6.616975940288997,16
82,North,80.50345009676151,51
82,South,19.685592259089322,22
82,East,15.51306683211353,19
82,West,8.756320963480546,16
83,North,74.47999999999999,50
83,South,22.571985990731807,23
83,East,11.903095379740474,18
83,West,9.874467093764741,17
84,North,71.84,44
84,South,22.589687526875792,22
84,East,17.541568881435776,20
84,West,24.09945218435106,22
85,North,57.93526315789473,45
85,South,23.206440014003352,25
85,East,11.909206490851588,19
85,West,13.04981084778748,19
86,North,72.0985,48
86,South,23.891365355747634,24
86,East,12.631541599210976,18
86,West,11.244650239032907,18
87,North,66.9385,46
87,South,25.55872414322078,25
87,East,14.342808840467217,20
87,West,10.239512239651926,17
88,North,65.35376315789475,46
88,South,24.773922857140604,25
88,East,14.451698950357336,20
88,West,9.29556981084282,17
89,North,69.2485,48
89,South,25.62647525770997,25
89,East,12.232848526508466,18
89,West,9.752888991141159,17
90,North,75.10294444444443,48
90,South,26.828169211700512,25
90,East,12.760308770959114,18
90,West,10.798517521164081,17
91,North,76.98294444444446,48
91,South,27.40915951335143,25
91,East,13.367815818340695,18
91,West,9.851421081303485,17
92,North,74.47294444444444,48
92,South,25.68586148201809,24
92,East,15.520897312729812,19
92,West,10.3658587594156,17
93,North,65.38820760233918,46
93,South,22.618097151208346,24
93,East,17.44287885560468,21
93,West,9.190762293355155,17
94,North,56.57349745741165,45
94,South,22.383515034128635,25
94,East,14.302922635016733,20
94,West,9.930289982279934,18
95,North,55.63499745741164,44
95,South,24.828361430331675,26
95,East,15.218835645494767,21
95,West,9.013727976775789,17
96,North,80.58627992728913,50
96,South,22.67570129124814,23
96,East,15.401639762536135,19
96,West,8.552524127636488,16
97,North,68.83890916979442,50
97,South,21.871798002638783,24
97,East,10.572504945847035,18
97,West,6.536436782848444,16
98,North,60.74053332864692,50
98,South,20.37079880970966,25
98,East,8.501465002528752,17
98,West,6.439292020159812,16
99,North,52.15166978495183,49
99,South,18.56090882766753,25
99,East,8.53182787511907,18
99,West,5.627571013740925,16
100,North,41.279450133081426,46
100,South,16.247781072185884,26
100,East,8.502978314767352,19
100,West,5.6060755605107175,17
101,North,38.048995232892196,46
101,South,16.13548052143704,26
101,East,7.6611263687166655,19
101,West,5.592205697497297,17
102,North,42.402456657796606,48
102,South,15.351589105124802,25
102,East,8.0074587631035,19
102,West,4.882718750905805,16
103,North,51.28747227818056,49
103,South,17.84127439407527,25
103,East,8.030320965620634,18
103,West,5.726252173260594,16
104,North,56.46921002702785,50
104,South,16.287156072185883,23
104,East,8.822154768385234,18
104,West,6.567448874394518,17
105,North,69.87833838653731,50
105,South,18.985755568637742,22
105,East,13.788612228771257,20
105,West,6.781680127199899,16
106,North,77.12038278553302,50
106,South,19.700759317126945,22
106,East,15.292057682771018,20
106,West,8.157035962498558,16
107,North,58.09218623481781,45
107,South,22.51203961925366,25
107,East,13.724836217943608,20
107,West,9.697006596114637,18
108,North,64.4321862348178,45
108,South,24.282278159843997,24
108,East,16.448404302888605,21
108,West,12.521361188134836,18
109,North,54.072186234817806,45
109,South,21.56857867181538,25
109,East,12.690755973216998,20
109,West,10.720588516336882,18
110,North,66.63542307692308,47
110,South,23.891365355747634,25
110,East,13.772393940423349,19
110,West,10.495270247204711,17
111,North,67.94542307692308,47
111,South,24.23921341402778,24
111,East,13.769687043057068,19
111,West,12.025099049086899,18
112,North,57.14917108330266,44
112,South,24.118528159843997,26
112,East,13.868677614805364,20
112,West,10.667847276091095,18
113,North,57.73068623481781,45
113,South,23.33656124011474,25
113,East,13.72318279413384,20
113,West,9.766698546079606,18
114,North,66.48513067926226,45
114,South,25.558724143220786,25
114,East,17.168638912224267,21
114,West,9.923942341039712,17
115,North,76.94986752136752,48
115,South,27.45630237049429,25
115,East,13.866651686437972,18
115,West,10.19594014700807,17
116,North,65.87820760233917,44
116,South,24.797076652296735,24
116,East,15.968939576155002,20
116,West,16.82758994633813,20
117,North,57.81669245082403,44
117,South,22.69064004346353,25
117,East,15.366278423168474,21
117,West,11.473677272846478,18
118,North,75.57621984433844,47
118,South,24.160878587194425,23
118,East,14.698681639714794,19
118,West,16.063976859403752,19
119,North,75.6765366941553,48
119,South,22.441359006049773,23
119,East,15.26621059149035,19
119,West,12.762588011558607,18
120,North,78.89582958109393,49
120,South,24.909194763665013,23
120,East,14.501912616764756,19
120,West,10.259104085897993,17
121,North,70.91074604999898,50
121,South,19.73809942452288,22
121,East,12.901961382211079,19
121,West,9.375038823842635,17
122,North,59.880595880229556,48
122,South,21.37088000412543,25
122,East,10.421558004359365,18
122,West,8.237628525312001,17
123,North,45.2611754879874,46
123,South,21.00132567731075,28
123,East,8.059360420455624,18
123,West,4.975256147006784,16
124,North,42.33609774321292,48
124,South,14.756328114576664,25
124,East,7.682966655399917,19
124,West,4.907189292190997,16
125,North,38.11952187140271,47
125,South,13.139288987813908,24
125,East,8.44695352289189,20
125,West,5.638858470141934,17
126,North,46.39966553509286,49
126,South,16.03935579742632,25
126,East,8.31163541601444,18
126,West,4.967274760980047,16
127,North,47.48926349509927,48
127,South,17.81664818679553,25
127,East,9.198547624268313,19
127,West,5.6711817355292835,16
128,North,52.16458167222618,49
128,South,15.350003592224315,23
128,East,10.67412360518961,19
128,West,7.3276954685334985,17
129,North,68.59161922983267,50
129,South,18.338480809556025,22
129,East,11.374503846979362,19
129,West,9.135492434092697,17
130,North,53.47218623481781,46
130,South,19.728082019121405,24
130,East,14.315821402418571,21
130,West,8.081721678789894,17
131,North,62.02218623481781,46
131,South,20.869263056318914,23
131,East,17.045488690323204,21
131,West,11.08420697262103,18
132,North,67.44692307692307,45
132,South,24.36311149317733,24
132,East,17.21474109478149,21
132,West,12.725570137118524,18
133,North,53.30218623481781,43
133,South,23.022839113737206,25
133,East,15.59993958529125,21
