DateTime,Road,Vehicles,ID,Outlier_Flag,Synthetic_Segment_Unverified
2015-11-01 00:00,East,9,20151101003,FALSE,FALSE
2015-11-01 01:00,East,7,20151101013,FALSE,FALSE
2015-11-01 02:00,East,5,20151101023,FALSE,FALSE
2015-11-01 03:00,East,1,20151101033,FALSE,FALSE
2015-11-01 04:00,East,2,20151101043,FALSE,FALSE
2015-11-01 05:00,East,2,20151101053,FALSE,FALSE
2015-11-01 06:00,East,3,20151101063,FALSE,FALSE
2015-11-01 07:00,East,4,20151101073,FALSE,FALSE
2015-11-01 08:00,East,3,20151101083,FALSE,FALSE
2015-11-01 09:00,East,6,20151101093,FALSE,FALSE
2015-11-01 10:00,East,12,20151101103,FALSE,FALSE
2015-11-01 11:00,East,6,20151101113,FALSE,FALSE
2015-11-01 12:00,East,6,20151101123,FALSE,FALSE
2015-11-01 13:00,East,9,20151101133,FALSE,FALSE
2015-11-01 14:00,East,6,20151101143,FALSE,FALSE
2015-11-01 15:00,East,6,20151101153,FALSE,FALSE
2015-11-01 16:00,East,4,20151101163,FALSE,FALSE
2015-11-01 17:00,East,4,20151101173,FALSE,FALSE
2015-11-01 18:00,East,6,20151101183,FALSE,FALSE
2015-11-01 19:00,East,5,20151101193,FALSE,FALSE
2015-11-01 20:00,East,11,20151101203,FALSE,FALSE
2015-11-01 21:00,East,8,20151101213,FALSE,FALSE
2015-11-01 22:00,East,6,20151101223,FALSE,FALSE
2015-11-01 23:00,East,5,20151101233,FALSE,FALSE
2015-11-02 00:00,East,5,20151102003,FALSE,FALSE
2015-11-02 01:00,East,3,20151102013,FALSE,FALSE
2015-11-02 02:00,East,5,20151102023,FALSE,FALSE
2015-11-02 03:00,East,5,20151102033,FALSE,FALSE
2015-11-02 04:00,East,3,20151102043,FALSE,FALSE
2015-11-02 05:00,East,1,20151102053,FALSE,FALSE
2015-11-02 06:00,East,5,20151102063,FALSE,FALSE
2015-11-02 07:00,East,1,20151102073,FALSE,FALSE
2015-11-02 08:00,East,5,20151102083,FALSE,FALSE
2015-11-02 09:00,East,8,20151102093,FALSE,FALSE
2015-11-02 10:00,East,10,20151102103,FALSE,FALSE
2015-11-02 11:00,East,10,20151102113,FALSE,FALSE
2015-11-02 12:00,East,11,20151102123,FALSE,FALSE
2015-11-02 13:00,East,7,20151102133,FALSE,FALSE
